Region,	 Month of Period End    Measure Names   Measure Values
Manhattan, NY	March 2023	Inventory MoM 	0.037846274
Manhattan, NY	February 2023	Inventory MoM 	0.009651369
Manhattan, NY	January 2023	Inventory MoM 	-0.019126739
Manhattan, NY	December 2022	Inventory MoM 	-0.102635229
Manhattan, NY	November 2022	Inventory MoM 	-0.075492867
Manhattan, NY	October 2022	Inventory MoM 	0.012167424
Manhattan, NY	September 2022	Inventory MoM 	0.124407151
Manhattan, NY	August 2022	Inventory MoM 	-0.081588206
Manhattan, NY	July 2022	Inventory MoM 	-0.026264274
Manhattan, NY	June 2022	Inventory MoM 	0.013390643
Manhattan, NY	May 2022	Inventory MoM 	0.062159789
Manhattan, NY	April 2022	Inventory MoM 	0.083317481
Manhattan, NY	March 2022	Inventory MoM 	0.127627628
Manhattan, NY	February 2022	Inventory MoM 	0.072710538
Manhattan, NY	January 2022	Inventory MoM 	-0.036363636
Manhattan, NY	December 2021	Inventory MoM 	-0.111855061
Manhattan, NY	March 2023	Inventory	5320
Manhattan, NY	February 2023	Inventory	5126
Manhattan, NY	January 2023	Inventory	5077
Manhattan, NY	December 2022	Inventory	5176
Manhattan, NY	November 2022	Inventory	5768
Manhattan, NY	October 2022	Inventory	6239
Manhattan, NY	September 2022	Inventory	6164
Manhattan, NY	August 2022	Inventory	5482
Manhattan, NY	July 2022	Inventory	5969
Manhattan, NY	June 2022	Inventory	6130
Manhattan, NY	May 2022	Inventory	6049
Manhattan, NY	April 2022	Inventory	5695
Manhattan, NY	March 2022	Inventory	5257
Manhattan, NY	February 2022	Inventory	4662
Manhattan, NY	January 2022	Inventory	4346
Manhattan, NY	December 2021	Inventory	4510
Manhattan, NY	March 2023	New Listings YoY 	-0.192325912
Manhattan, NY	February 2023	New Listings YoY 	-0.206023272
Manhattan, NY	January 2023	New Listings YoY 	-0.178060413
Manhattan, NY	December 2022	New Listings YoY 	-0.432857143
Manhattan, NY	November 2022	New Listings YoY 	-0.240375587
Manhattan, NY	October 2022	New Listings YoY 	-0.217632552
Manhattan, NY	September 2022	New Listings YoY 	-0.025778733
Manhattan, NY	August 2022	New Listings YoY 	-0.163847780
Manhattan, NY	July 2022	New Listings YoY 	-0.106489185
Manhattan, NY	June 2022	New Listings YoY 	0.139416058
Manhattan, NY	May 2022	New Listings YoY 	0.143576826
Manhattan, NY	April 2022	New Listings YoY 	0.068361582
Manhattan, NY	March 2022	New Listings YoY 	0.583645911
Manhattan, NY	February 2022	New Listings YoY 	0.582881907
Manhattan, NY	January 2022	New Listings YoY 	0.256743257
Manhattan, NY	December 2021	New Listings YoY 	0.170568562
Manhattan, NY	March 2023	New Listings MoM 	0.469827586
Manhattan, NY	February 2023	New Listings MoM 	0.121856867
Manhattan, NY	January 2023	New Listings MoM 	1.604534005
Manhattan, NY	December 2022	New Listings MoM 	-0.509270705
Manhattan, NY	November 2022	New Listings MoM 	-0.362490150
Manhattan, NY	October 2022	New Listings MoM 	-0.300441014
Manhattan, NY	September 2022	New Listings MoM 	1.293299621
Manhattan, NY	August 2022	New Listings MoM 	-0.263500931
Manhattan, NY	July 2022	New Listings MoM 	-0.311979500
Manhattan, NY	June 2022	New Listings MoM 	-0.140418502
Manhattan, NY	May 2022	New Listings MoM 	-0.039661555
Manhattan, NY	April 2022	New Listings MoM 	-0.104216011
Manhattan, NY	March 2022	New Listings MoM 	0.444900753
Manhattan, NY	February 2022	New Listings MoM 	0.161367250
Manhattan, NY	January 2022	New Listings MoM 	0.797142857
Manhattan, NY	December 2021	New Listings MoM 	-0.342723005
Manhattan, NY	March 2023	New Listings	1705
Manhattan, NY	February 2023	New Listings	1160
Manhattan, NY	January 2023	New Listings	1034
Manhattan, NY	December 2022	New Listings	397
Manhattan, NY	November 2022	New Listings	809
Manhattan, NY	October 2022	New Listings	1269
Manhattan, NY	September 2022	New Listings	1814
Manhattan, NY	August 2022	New Listings	791
Manhattan, NY	July 2022	New Listings	1074
Manhattan, NY	June 2022	New Listings	1561
Manhattan, NY	May 2022	New Listings	1816
Manhattan, NY	April 2022	New Listings	1891
Manhattan, NY	March 2022	New Listings	2111
Manhattan, NY	February 2022	New Listings	1461
Manhattan, NY	January 2022	New Listings	1258
Manhattan, NY	December 2021	New Listings	700
Manhattan, NY	March 2023	Homes Sold YoY 	-0.452261307
Manhattan, NY	February 2023	Homes Sold YoY 	-0.419517103
Manhattan, NY	January 2023	Homes Sold YoY 	-0.400191022
Manhattan, NY	December 2022	Homes Sold YoY 	-0.405575540
Manhattan, NY	November 2022	Homes Sold YoY 	-0.255837563
Manhattan, NY	October 2022	Homes Sold YoY 	-0.321338912
Manhattan, NY	September 2022	Homes Sold YoY 	-0.201646091
Manhattan, NY	August 2022	Homes Sold YoY 	-0.159285714
Manhattan, NY	July 2022	Homes Sold YoY 	-0.185384615
Manhattan, NY	June 2022	Homes Sold YoY 	0.037647059
Manhattan, NY	May 2022	Homes Sold YoY 	0.034296029
Manhattan, NY	April 2022	Homes Sold YoY 	0.034917556
Manhattan, NY	March 2022	Homes Sold YoY 	0.133903134
Manhattan, NY	February 2022	Homes Sold YoY 	0.494736842
Manhattan, NY	January 2022	Homes Sold YoY 	0.605828221
Manhattan, NY	December 2021	Homes Sold YoY 	0.555244755
Manhattan, NY	March 2023	Homes Sold MoM 	0.133448873
Manhattan, NY	February 2023	Homes Sold MoM 	-0.081210191
Manhattan, NY	January 2023	Homes Sold MoM 	-0.049924357
Manhattan, NY	December 2022	Homes Sold MoM 	-0.098226467
Manhattan, NY	November 2022	Homes Sold MoM 	-0.096177559
Manhattan, NY	October 2022	Homes Sold MoM 	-0.163917526
Manhattan, NY	September 2022	Homes Sold MoM 	-0.175870858
